食物,热量,连接
吐司面包，又叫吐司、白吐司、面包片、切片面包,热量：278 大卡(每100克),http://www.boohee.com/food/view_menu?page=1/shiwu/zizhitusi
鸡蛋羹,热量：62 大卡(每100克),http://www.boohee.com/food/view_menu?page=1/shiwu/qingzhengjidangeng
绿豆汤,热量：46 大卡(每100克),http://www.boohee.com/food/view_menu?page=1/shiwu/lvdoutang
素炒小白菜,热量：46 大卡(每100克),http://www.boohee.com/food/view_menu?page=1/shiwu/suchaoxiaobaicai
烧茄子,热量：74 大卡(每100克),http://www.boohee.com/food/view_menu?page=1/shiwu/shaoqiezi
绿豆粥,热量：48 大卡(每100克),http://www.boohee.com/food/view_menu?page=1/shiwu/lvdouzhou
菜包，又叫香菇菜包、菜包子、素包子、素包,热量：166 大卡(每100克),http://www.boohee.com/food/view_menu?page=1/shiwu/xiangguqingcaibaozi
蛋炒饭,热量：154 大卡(每100克),http://www.boohee.com/food/view_menu?page=2/shiwu/danchaofan
红烧鳓鱼,热量：216 大卡(每100克),http://www.boohee.com/food/view_menu?page=2/shiwu/hongshaoyu
盐水虾,热量：92 大卡(每100克),http://www.boohee.com/food/view_menu?page=2/shiwu/yanshuixia
炒绿豆芽,热量：22 大卡(每100克),http://www.boohee.com/food/view_menu?page=2/shiwu/chaolvdouya
葱油饼，又叫葱花饼,热量：259 大卡(每100克),http://www.boohee.com/food/view_menu?page=2/shiwu/congyoubing
清炒西葫芦,热量：34 大卡(每100克),http://www.boohee.com/food/view_menu?page=2/shiwu/qingchaoxihulu
西红柿鸡蛋面，又叫番茄蛋面,热量：72 大卡(每100克),http://www.boohee.com/food/view_menu?page=2/shiwu/xihongshijidanmian
酸辣土豆丝,热量：122 大卡(每100克),http://www.boohee.com/food/view_menu?page=2/shiwu/suanlatudousi
红烧肉,热量：470 大卡(每100克),http://www.boohee.com/food/view_menu?page=2/shiwu/hongshaorou
韭菜包子,热量：171 大卡(每100克),http://www.boohee.com/food/view_menu?page=2/shiwu/jiucaibaozi
卤蛋，又叫卤鸡蛋,热量：148 大卡(每100克),http://www.boohee.com/food/view_menu?page=3/shiwu/lujidan
清炒土豆丝,热量：97 大卡(每100克),http://www.boohee.com/food/view_menu?page=3/shiwu/qingchaotudousi
清爽西兰花,热量：35 大卡(每100克),http://www.boohee.com/food/view_menu?page=3/shiwu/qingshuangxilanhua
烧麦，又叫烧卖,热量：220 大卡(每100克),http://www.boohee.com/food/view_menu?page=3/shiwu/shaomai
炒大白菜,热量：53 大卡(每100克),http://www.boohee.com/food/view_menu?page=3/shiwu/chaodabaicai
西红柿鸡蛋汤,热量：14 大卡(每100克),http://www.boohee.com/food/view_menu?page=3/shiwu/xihongshijidantang
大饼，又叫饼，家常饼，死面饼,热量：215 大卡(每100克),http://www.boohee.com/food/view_menu?page=3/shiwu/dabing
清蒸鱼,热量：105 大卡(每100克),http://www.boohee.com/food/view_menu?page=3/shiwu/qingzhengyu
酸菜鱼,热量：98 大卡(每100克),http://www.boohee.com/food/view_menu?page=3/shiwu/suancaiyu
寿司 自制1，又叫寿司卷,热量：141 大卡(每100克),http://www.boohee.com/food/view_menu?page=3/shiwu/shousijuanhihifebruaryzizhi
